# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: BandWidth, unit: micron, datatype: float64}
# - {name: LeftBinEdge, unit: micron, datatype: float64}
# - {name: RightBinEdge, unit: micron, datatype: float64}
# - {name: totalNoise, unit: h(1/2) ppm, datatype: float64}
# - {name: NoiseOnTransit, unit: ppm, datatype: float64}
# - {name: NoiseOnTransitFloor, unit: ppm, datatype: float64}
# delimiter: ','
# meta: !!omap
# - planetGamma: !astropy.units.Quantity
#     unit: &id001 !astropy.units.Unit {unit: ''}
#     value: 1.0
# - planetOrbitalRadius: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: AU}
#     value: 0.015016857440750592
# - starDistance: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: pc}
#     value: 80.0
# - planetb: !astropy.units.Quantity
#     unit: *id001
#     value: 0.5
# - starM: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: solMass}
#     value: 0.68275
# - starTeff: !astropy.units.Quantity
#     unit: &id002 !astropy.units.Unit {unit: K}
#     value: 4490.0
# - starR: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: solRad}
#     value: 0.65025
# - starL: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: solLum}
#     value: 0.15572583437562953
# - planetPeriod: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: d}
#     value: 0.813357515
# - {Num. to be observed: ''}
# - planetMass: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: earthMass}
#     value: 627.687541862023
# - planetTeff: !astropy.units.Quantity
#     unit: *id002
#     value: 1551.26720694818
# - {starModel: lte045.0-4.5-0.0a+0.0.BT-Settl.spec.fits.gz}
# - {planetName: WASP-43 b}
# - {starName: WASP-43}
# - planetT14: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: s}
#     value: 3184.26809323026
# - starMagK: !astropy.units.Quantity
#     unit: *id001
#     value: 9.267
# - planetR: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: earthRad}
#     value: 11.0775630984147
# - planetMMW: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: g / mol}
#     value: 2.3
# - planetAlbedo: !astropy.units.Quantity
#     unit: *id001
#     value: 0.1
# schema: astropy-2.0
name,Wavelength,BandWidth,LeftBinEdge,RightBinEdge,totalNoise,NoiseOnTransit,NoiseOnTransitFloor
VISPhot,0.55,0.1,0.5,0.6,115.136500528,158.204086979,159.463265791
FGS1,0.705,0.21,0.6,0.81,68.9680664741,94.7660380263,96.8535077485
FGS2,0.955,0.29,0.81,1.1,53.5501174608,73.580900945,76.2505671053
NIRSpec,1.1275,0.055,1.1,1.155,122.772378071,168.696216143,169.877642263
NIRSpec,1.183875,0.05775,1.155,1.21275,115.937280199,159.3044037,160.554953328
NIRSpec,1.24306875,0.0606375,1.21275,1.2733875,109.373854109,150.285883707,151.610840119
NIRSpec,1.3052221875,0.063669375,1.2733875,1.337056875,106.064671515,145.73887899,147.104795467
NIRSpec,1.37048329688,0.06685284375,1.337056875,1.40390971875,101.170666374,139.014238138,140.44557097
NIRSpec,1.43900746172,0.0701954859375,1.40390971875,1.47410520469,99.2218878297,136.336505803,137.795656008
NIRSpec,1.5109578348,0.0737052602344,1.47410520469,1.54781046492,97.6135880899,134.126610672,135.609541296
NIRSpec,1.58650572654,0.0773905232461,1.54781046492,1.62520098817,94.8238688317,130.293378065,131.819438504
NIRSpec,1.66583101287,0.0812600494084,1.62520098817,1.70646103758,96.9722854074,133.245424386,134.738053718
NIRSpec,1.74912256352,0.0853230518788,1.70646103758,1.79178408946,102.522555892,140.87181107,142.284458583
NIRSpec,1.83657869169,0.0895892044728,1.79178408946,1.88137329393,119.39526509,164.055871219,165.270471898
NIRSpec,1.92840762628,0.0940686646964,1.88137329393,1.97544195862,175.488415553,241.131043853,241.959046762
AIRS-CH0,1.95975,0.0195,1.95,1.9695,334.584098685,459.737542894,460.172368082
AIRS-CH0,1.9793475,0.019695,1.9695,1.989195,326.684031634,448.882402351,449.327732441
AIRS-CH0,1.999140975,0.01989195,1.989195,2.00908695,342.217073121,470.225683023,470.650818521
AIRS-CH0,2.01913238475,0.0200908695,2.00908695,2.0291778195,341.082733825,468.667036445,469.093584533
AIRS-CH0,2.0393237086,0.020291778195,2.0291778195,2.0494695977,302.794381196,416.056666651,416.537093024
AIRS-CH0,2.05971694568,0.0204946959769,2.0494695977,2.06996429367,298.112552789,409.623568674,410.111531188
AIRS-CH0,2.08031411514,0.0206996429367,2.06996429367,2.09066393661,296.574997668,407.510880665,408.001369924
AIRS-CH0,2.10111725629,0.0209066393661,2.09066393661,2.11157057597,305.714539052,420.069129296,420.544971896
AIRS-CH0,2.12212842885,0.0211157057597,2.11157057597,2.13268628173,310.445918818,426.570313651,427.038912148
AIRS-CH0,2.14334971314,0.0213268628173,2.13268628173,2.15401314455,319.643750128,439.208655949,439.663784568
AIRS-CH0,2.16478321027,0.0215401314455,2.15401314455,2.175553276,316.410314483,434.76573184,435.225506585
